"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
0.000131298297082898,110,119,1.21223492651845,"Path:pon04152 AMPK signaling pathway","https://www.genome.jp/kegg-bin/show_pathway?pon04152"," TSC1  MAP3K7  PPARG  CCND1  PRKAA2  PRKAB2  IGF1R  PPARGC1A  STRADA  CPT1C  EEF2  PFKM  SCD  GYS1  PFKFB3  PFKL  PPP2R1A  HMGCR  PFKP  RAB10  PCK1  PRKAG2  PPP2R5C  RAB8A  PPP2R2B  PFKFB2  PIK3R3  PRKAA1  CREB1  MLYCD  HNF4A  CREB3L1  PPP2R5D  CAB39L  PFKFB1  STRADB  ELAVL1  RPTOR  CREB3L4  PPP2R2D  PPP2CB  PIK3R2  PPP2R1B  CRTC2  SREBF1  CREB3  RAB11B  CREB5  PPP2R5B  PRKAG3  ADIPOR2  LEP  TSC2  CREB3L3  ADIPOR1  AKT1  IRS1  PRKAG1  SCD5  PPP2R2A  SIRT1    CPT1B  LIPE  G6PC1  CPT1A  RHEB  ADRA1A  AKT3  PPP2R5A  ACACB  CCNA1  AKT1S1  CIDEA  ULK1  PFKFB4  FOXO3  INSR  IRS2  PDPK1  GYS2  PPP2R3A  TBC1D1  G6PC2  PIK3CA  CCNA2  AKT2  ACACA  FBP2  FBP1  SLC2A4  FASN  MTOR  RPS6KB1  EEF2K  PPP2R3C  G6PC3  IRS4  RPS6KB2  CAMKK2  CAB39  STK11  FOXO1  RAB14  LEPR  PPP2R2C  CD36  PIK3CD"
0.000174979893144268,108,117,1.21053949305479,"Path:pon04919 Thyroid hormone signaling pathway","https://www.genome.jp/kegg-bin/show_pathway?pon04919"," MAPK1  MDM2  CCND1  PLCD4  RCAN1  RXRG  RCAN2  ATP1A2  TBC1D4  HDAC3  PFKM  HDAC1  ATP1B1  PFKL  SLC2A1  PFKP  STAT1  RAF1  CTNNB1  ACTB  HIF1A  PFKFB2  PIK3R3  ATP1A1  MED27  PRKACB  MAPK3  PRKACG  MED30  MED13L  NCOA1  NCOA3  PRKCA    PLCB1  KAT2A  ATP1B2  TP53  SRC  MED17  PRKACA  SLC16A10  PIK3R2  MED13  SIN3A  PRKCB  ATP1A3  ATP1B4  DIO1  TSC2  MED24  ACTG1  ESR1  GATA4  PLCZ1  AKT1  PLCD3  MED14  PLCE1  SLC16A2  ITGB3  CREBBP  MAP2K1  SLCO1C1  ATP2A3  RHEB  GSK3B  AKT3  MED12L  MYH6  NOTCH1  NCOR1  BMP4  SLC9A1  PLCG1  ATP1A4  PRKCG  ITGAV  PDPK1  ATP2A1  PIK3CA  BAD  MED16  AKT2  MED1  NOTCH3  MYC  MTOR  PLCG2  NCOA2  PLCB2  MED4  HRAS  ATP2A2  CASP9  FOXO1  RXRB  KAT2B  PLCB4  PLCD1  KRAS  PIK3CD  PLN  WNT4"
9.47131679709116e-05,140,154,1.19219798558426,"Path:pon04150 mTOR signaling pathway","https://www.genome.jp/kegg-bin/show_pathway?pon04150"," TSC1  MAPK1  LPIN3  PTEN  MAPKAP1  FNIP1  PRKAA2  ATP6V1D  FZD6  IGF1R  SESN2  SLC3A2  STRADA  SEH1L  CASTOR1  ATP6V1A  ATP6V1H  LAMTOR1  ATP6V1B2  RAF1  GRB2  EIF4E2  LAMTOR4  TTI1  PIK3R3  PRKAA1  CHUK  LAMTOR3  MIOS  FLCN  WNT3  WDR59  MAPK3  SKP2  RNF152    CAB39L  DEPDC5  SOS2  LAMTOR2  STRADB  PRKCA  RPTOR  GRB10  DEPTOR  FZD7  PIK3R2  TNFRSF1A  FZD9  ATP6V1E2  PRKCB  IKBKB  WNT6  WNT10A  RRAGB  TSC2  WNT7A  WNT1  WDR24  AKT1  IRS1  BRAF  ATP6V1E1  FNIP2  FZD10  RICTOR  WNT11  MLST8  RRAGD  ATP6V1G3  FZD1  DDIT4  MAP2K1  RRAGA  RHEB  ULK2  WNT5A  TNF  FZD4  GSK3B  ATP6V1F  DVL3  AKT3  WNT3A  EIF4E  SLC7A5  WNT8A  SLC38A9  LRP5  AKT1S1  ATP6V1B1  PRR5L  WNT8B  ULK1  RPS6KA2  ATP6V1G1  RPS6KA3  INSR  LPIN2  SEC13  PRKCG  RRAGC  LRP6  FZD2  WNT9A  PDPK1  WNT16  PIK3CA  DVL2  AKT2  DVL1  EIF4E1B  MTOR  RPS6KB1  FZD3  FZD5  LPIN1  TELO2  HRAS  RPS6KB2  RPS6KA1  CAB39  CASTOR2  TBC1D7  NPRL3  STK11  WNT2B  KRAS  WNT9B  PRR5  PIK3CD  FZD8  WNT4"
0.000251515225293975,127,140,1.18964327561515,"Path:pon01240 Biosynthesis of cofactors","https://www.genome.jp/kegg-bin/show_pathway?pon01240"," SHMT1  UGT2B7  ALDH3A2  GGCX  ALDH2  SHMT2  PTS  BCAT2  AK1  AK2  NQO1  EPRS1  NMNAT2  NADK2  ALAS1  GPHN  MTHFD1  MAT2B  KMO  COX15  FECH  MOCS1  RDH11  MAT2A  AKR1A1  UMPS  COX10  AK4  ALAD  UGT2A3  NME2  AK3  NFS1  RGN  UGDH  DHODH  ALAS2  DLD  UROD  PPCDC  LIAS  CTPS1    HPD  NME3  MAT1A  NMNAT1  EARS2  LIPT2  VKORC1  IDO2  NADSYN1  GGH  PMM2  AK5  GMPPB  TDO2  NAPRT  IDO1  TNRC6B  COQ7  AK7  DHFR  CMPK1  CTPS2  MTHFD1L  OXSM  FPGS  TPK1  ADSS1  CPOX  RDH13  ADSS2  PNPO  CAD  RDH12  SPR  AFMID  MTHFD2L  NADK  DHRS3  COQ2  AK8  HMBS  UGT2B4  GCLM  PDXK  NME7  COQ4  HAAO  GSS  GCH1  PANK3  RFK  GMPPA  FLAD1  BCO1  GCLC  AK6  UROS  DHFR2  COASY  NME6  LIPT1  HSD17B6  ASPDH  PSAT1  AK9  COQ3  BCAT1  MPI  UGT2B15  KYNU  PPOX  PHOSPHO2  QPRT  ALPL"
0.000183063543097975,150,167,1.17792016539763,"Path:pon04310 Wnt signaling pathway","https://www.genome.jp/kegg-bin/show_pathway?pon04310"," MCC  MAP3K7  FRZB  CCND1  DAAM1  SENP2  FZD6  CAMK2A  PSEN1  CSNK2A1  CTNNB1  CSNK1A1  MAPK10  PPP3CA  LGR4  CACYBP  PRKACB  CUL1  PRICKLE3  WNT3  APC  RAC2  SOST  AXIN2  PRKACG    CAMK2B  TLE1  RSPO4  ZNRF3  AXIN1  PRKCA  PLCB1  TCF7L2  TP53  VANGL1  APC2  DKK1  SFRP5  TCF7L1  NFATC1  SFRP1  RNF43  PPP3CB  CAMK2D  PRKACA  NLK  MAPK8  FZD7  NKD1  PRICKLE1  CCN4  CCDC88C  ROR1  FZD9  SMAD4  APCDD1L  PRKCB  WIF1  WNT6  GPC4  WNT10A  WNT7A  DAAM2  ROR2  WNT1  RBX1  DKK4  FZD10  WNT11  SOX17  SIRT1  FZD1  PPARD  DKK2  CREBBP  TBL1X  WNT5A  FZD4  PORCN  GSK3B  RYK  LEF1  DVL3  RSPO2  WNT3A  SMAD3  WNT8A  LRP5  SFRP4  BAMBI  WNT8B  JUN  CSNK2A2  TBL1XR1  NFATC2  VANGL2  CSNK1A1L  PRICKLE2  NOTUM  PRKCG  RSPO3  LRP6  FZD2  WNT9A  CSNK2B  WNT16  CCND3  LGR6  INVS  CTNND2  DVL2  LZTS2  FOSL1  DVL1  PPP3CC  MYC  SFRP2  CCAR2  SERPINF1  FZD3  NFATC3  LGR5  MMP7  TLE3  FZD5  PLCB2  TLE6  MAPK9  TLE2  RSPO1  APCDD1  WNT2B  CTBP1  NKD2  NFATC4  SIAH1  ROCK2  PLCB4  RUVBL1  CAMK2G  WNT9B  PPP3R1  RAC3  FZD8  WNT4"
0.000744327674906553,123,137,1.17740428795293,"Path:pon04910 Insulin signaling pathway","https://www.genome.jp/kegg-bin/show_pathway?pon04910"," MAPK1  PRKAR1A  SOCS4    PRKAA2  PTPN1  PRKAB2  TRIP10  HK1  PPARGC1A  FLOT1  GYS1  CALM3  CALM2  SHC1  PPP1CB  EXOC7  RAF1  PYGB  PCK1  PRKAG2  PRKCI  GRB2  EIF4E2  PRKCZ  PIK3R3  PRKAA1  MAPK10  PRKACB  SHC4  MAPK3  ARAF  PRKACG  ELK1  HKDC1  PPP1R3F  SOS2  RPTOR  PHKA1  PKLR  CALML5  CALML3  PRKACA  PYGL  MAPK8  PIK3R2  RHOQ  SREBF1  PPP1R3A  PRKAG3  SOCS2  IKBKB  INPP5A  TSC2  AKT1  PTPRF  IRS1  BRAF  PRKAG1  CRKL  SH2B2  PYGM  RAPGEF1  CALML6  PRKAR2A  SOCS1  LIPE  MAP2K1  MKNK2  G6PC1  SOCS3  RHEB  GSK3B  MKNK1  PPP1R3D  AKT3  PPP1R3E  EIF4E  ACACB  PHKA2  INSR  FLOT2  PPP1R3B  IRS2  CBLB  PDPK1  CRK  GYS2  PHKG1  G6PC2  PIK3CA  PRKAR2B  BAD  AKT2  ACACA  PRKAR1B  PHKG2  FBP2  FBP1  SLC2A4  FASN  EIF4E1B  MTOR  RPS6KB1  PPP1CC  HK3  G6PC3  IRS4  MAPK9  GCK  HRAS  RPS6KB2  FOXO1  PDE3B  HK2  PPP1R3C  KRAS  CBL"
0.000744327674906553,128,143,1.17385647811374,"Path:pon05224 Breast cancer","https://www.genome.jp/kegg-bin/show_pathway?pon05224"," MAPK1  CCND1  PTEN  FZD6  IGF1R  HEY1  FGF7  SHC1  RAF1  CTNNB1  CSNK1A1  GRB2  PIK3R3  FGFR1  WNT3  APC  SHC4  AXIN2  MAPK3  ARAF  JAG1  FGF10    NCOA1  FGF8  NCOA3  AXIN1  SOS2  TCF7L2  TP53  APC2  BRCA2  E2F1  TCF7L1  DLL1  GADD45G  KIT  FZD7  DLL4  PIK3R2  FGF5  FZD9  FGF23  BRCA1  TNFSF11  FGF3  WNT6  FGF4  SP1  WNT10A  WNT7A  WNT1  FGF19  ESR1  AKT1  BRAF  FZD10  POLK  CDK4  WNT11  HEYL  FZD1  MAP2K1  JAG2  WNT5A  FZD4  GSK3B  LEF1  DVL3  AKT3  WNT3A  E2F3  FGF22  HEY2  WNT8A  NOTCH1  LRP5  WNT8B  JUN  ERBB2  FGF17  CSNK1A1L  LRP6  FZD2  WNT9A  WNT16  CDKN1A  PIK3CA  DVL2  DDB2  AKT2  DVL1  NOTCH3  PGR  CDK6  EGF  HES1  GADD45A  MYC  MTOR  RPS6KB1  FZD3  E2F2  FZD5  FGF6  EGFR  HRAS  RPS6KB2  ESR2  FGF18  WNT2B  FGF20  FLT4  RB1  FOS  NFKB2  KRAS  WNT9B  PIK3CD  HES5  FZD8"
0.000626646361645276,135,151,1.17245960833949,"Path:pon04261 Adrenergic signaling in cardiomyocytes","https://www.genome.jp/kegg-bin/show_pathway?pon04261"," MAPK1  CACNA2D1  ATP1A2  CAMK2A  TPM1  CACNB2  GNAI1  ATP2B1  SLC8A1  CALM3  ATF6B  ATP1B1  KCNE1  RYR2  CALM2  PPP2R1A  PPP1CB  PPP2R5C  TPM3  PPP2R2B  RAPGEF3  SCN7A  ATP1A1  MYL3  PRKACB  CACNG3  RAPGEF4  CREB1  ADCY3    CACNA1F  MAPK3  PRKACG  CREB3L1  CREM  PPP2R5D  CAMK2B  CACNA1S  PRKCA  PLCB1  ATP1B2  KCNK2  CACNG1  ADRA1B  CREB3L4  CACNG4  CALML5  ADCY7  CAMK2D  CALML3  PPP2R2D  PRKACA  MAPK12  PPP2CB  SCN4B  PPP2R1B  ADCY6  MAPK11  ATP2B3  CACNB3  CREB3  BVES  CREB5  PPP2R5B  POPDC2  ATP1A3  ATP1B4  CACNA2D4  ADRB1  CREB3L3  CACNA1C  AKT1  PPP2R2A  CALML6  MYL4  ATP2B4  ATP2A3  ADRA1A  AKT3  PPP2R5A  MYH6  MAPK14  ADCY1  MAPK13  SLC9A1  ATP2B2  ATF2  ATP1A4  CACNA2D2  CACNG7  CACNG6  PIK3CG  PPP2R3A  ATP2A1  CACNA1D  ADCY5  AKT2  AGTR2  SCN1B  SLC8A2  CACNG2  ADRB2  PIK3R5  PPP1R1A  PIK3R6  GNAI3  CACNB1  AGT  GNAI2  PPP1CC  PPP2R3C  GNAQ  PLCB2  SCN5A  ATP2A2  ADCY8  TNNC1  SLC8A3  PLCB4  ADRA1D  PPP2R2C  CAMK2G  MIEF1  KCNQ1  BCL2  ADCY9  PLN"
7.45976855977525e-05,195,219,1.16770076670239,"Path:pon04024 cAMP signaling pathway","https://www.genome.jp/kegg-bin/show_pathway?pon04024"," MAPK1  ADORA1  VAV2  RAP1B  ATP1A2  CAMK2A  ACOX1  MYL9  ACOX3  PPP1R12A  GNAI1  ATP2B1  CALM3  GABBR1  CHRM1  ATP1B1  RYR2  CALM2  PPP1CB  RAF1  GRIA4  RAPGEF3  PIK3R3  ATP1A1  MAPK10  PRKACB  RAPGEF4  CREB1  ADCY3  RAC2  TIAM1  CACNA1F  MAPK3  PRKACG  CRHR1  FFAR2  CREB3L1  GIPR  PTCH1  ROCK1  GRIN3A  CAMK2B  RAP1A  CACNA1S  HHIP  HTR1B  ATP1B2  GLP1R  GRIN1  KCNK2    CREB3L4  NFATC1  CALML5  HTR1A  ADCY7  SSTR1  MC2R  CAMK2D  CALML3  GIP  PRKACA  MAPK8  GCG  PIK3R2  ARAP3  ADCY6  GLI1  GRIN2A  ATP2B3  GLI3  OXTR  PDE4C  CREB3  GRIN2D  GRIA2  BVES  EDNRA  CREB5  PLD1  POPDC2  ATP1A3  ATP1B4  SST  PTGER2  GHSR  ADRB1  CREB3L3  ABCC4  CACNA1C  AKT1  BRAF  NPR1  DRD2  VIP  CRHR2  PLCE1  FSHB  DRD5  CALML6  NPY  CRH  CNGB3  ADORA2A  CREBBP  LIPE  EDN3  ADCYAP1R1  ATP2B4  MAP2K1  GRIA3  PDE10A  ATP2A3  PDE3A  VAV1  DRD1  BDNF  PTGER3  OXT  F2R  CNGA4  AMH  AKT3  GRIA1  GABBR2  CNGA2  HCN4  HCN2  ADCY1  SLC9A1  JUN  HTR6  SSTR5  ATP2B2  NPPA  ATP1A4  PPP1R1B  SOX9  GHRL  ATP2A1  PIK3CA  CACNA1D  CNGA3  BAD  ADCY5  PPARA  AKT2  LHB  HTR4  CNGA1  GPHB5  SSTR2  ADRB2  FSHR  RELA  GNAI3  FXYD1  PLD2  LHCGR  EDN1  ADCYAP1  GNAI2  PPP1CC  GRIN2B  GRIN3B  MAPK9  ATP2A2  ADCY10  AFDN  POMC  PDE3B  HTR1E  HTR1D  ADCY8  PDE4B  EDN2  NFKB1  CAMK4  GPR119  ROCK2  FOS  CAMK2G  PIK3CD  ADCY9  RAC3  PLN"
2.85793545692831e-06,258,290,1.16670961485798,"Path:pon04010 MAPK signaling pathway","https://www.genome.jp/kegg-bin/show_pathway?pon04010"," MAPK1  MAP3K7  FGFR2  RASGRP3  CACNA2D1  RAP1B  RASGRF2  ARRB2  IGF1R  MAP3K12  IL1RAP  NR4A1  CACNB2  FGF7  HSPA8  PTPRR  MAP3K13  TGFA  PLA2G4A  RAF1  PPM1A  GRB2  TAOK3  TAB2  MAP4K3  ERBB3  MAPK10  PPP3CA  PPP5C  FGFR1  PPM1B  CHUK  PRKACB  MEF2C  LAMTOR3  CACNG3  RAC2    NRTN  MECOM  PDGFRA  CACNA1F  MAPK3  MRAS  ARAF  PRKACG  FGF10  NTF3  CACNA1I  ELK1  FGF8  MAPT  MAPK8IP3  FGFR3  TGFB3  CSF1R  DAXX  VEGFD  MAP3K9  RAP1A  CACNA1S  SOS2  PRKCA  PLA2G4C  ANGPT4  MAPKAPK5  TP53  CACNG1  CASP3  DUSP1  SRF  CACNG4  NFATC1  GADD45G  PPP3CB  PRKACA  KIT  MAPK12  NLK  MAPK8  FGF5  PDGFC  IRAK1  CDC42  MAPK11  MAP4K4  TNFRSF1A  STK4  GDNF  CACNB3  TAOK2  PSPN  FGF23  MAP2K4  DDIT3  JUND  PAK2  FLT3LG  PRKCB  NF1  CD14  PDGFA  MAP3K20  FGF3  ARRB1  IKBKB  FGF4  CACNA2D4  NTRK2  FGF19  NGF  DUSP2  CACNA1C  AKT1  MAP3K4  BRAF  MAP4K2  RET  TRADD  EREG  CRKL  AREG  ANGPT1  RAPGEF2  RASGRP4  RASA2  DUSP8  MAP3K3  MAP3K6  MAP2K1  MKNK2  MAPK8IP2  FLNA  MAPKAPK2  IRAK4  BDNF  MAP4K1  TNF  PLA2G4B  RASGRP2  MKNK1  AKT3  EFNA1  MAP2K6  FGF22  PLA2G4F  VEGFA  DUSP16  EFNA3  MAP2K5  MAPK14  MAPKAPK3  IKBKG  HSPB1  MAPK13  EFNA4  MAP3K2  JUN  ERBB2  FGF17  MAP3K21  RPS6KA2  ATF2  MAP3K10  CACNA1B  MAPK7  RELB  DUSP10  EFNA5  RPS6KA3  INSR  RASGRP1  CACNA1H  PRKCG  EPHA2  CACNA2D2  CACNG7  CSF1  NTRK1  CRK  CACNG6  VEGFC  MAP3K1  CACNA1D  AKT2  IL1B  PLA2G4E  FLT3  PLA2G4D  EGF  CACNG2  TAOK1  PPP3CC  NGFR  RELA  VEGFB  FLT1  GADD45A  CACNB1  ECSIT  MYC  MAP3K11  MAP2K3  ELK4  DUSP5  NFATC3  HSPA1L  TRAF2  MAPK8IP1  MAP3K5  FGF6  MAPK9  TGFBR2  EGFR  RPS6KA4  HRAS  RPS6KA1  ANGPT2  KITLG  TGFB1  PDGFRB  ARTN  PDGFB  FGF18  MYD88  DUSP4  DUSP6  FGF20  FGFR4  TGFB2  FASLG  NFKB1  RASGRF1  FLT4  HGF  FOS  NFKB2  KDR  MIEF1  KRAS  ERBB4  DUSP9  TAB1  MAP3K8  PPP3R1  RAC3  EFNA2  DUSP7"
